matric number,img paths
CSC/19/0463,records/CSC-19-0463/photo_2024-08-02_07-38-10.jpg records/CSC-19-0463/photo_2024-08-02_07-38-19.jpg records/CSC-19-0463/photo_2024-08-02_07-38-26.jpg records/CSC-19-0463/photo_2024-08-02_07-38-32.jpg records/CSC-19-0463/photo_2024-08-02_07-38-36.jpg
CYS/18/5874,records/CYS-18-5874/1721676589154.jpg records/CYS-18-5874/1721676589194.jpg
CYS/18/5879,records/CYS-18-5879/1721675647292.jpg records/CYS-18-5879/1721675647368.jpg
CYS/18/5882,records/CYS-18-5882/1721675648611.jpg records/CYS-18-5882/1721675648649.jpg
CYS/18/5883,records/CYS-18-5883/1721676589269.jpg
CYS/18/5884,records/CYS-18-5884/1721675648162.jpg
CYS/18/5885,records/CYS-18-5885/1721675646760.jpg records/CYS-18-5885/1721675646862.jpg
CYS/18/5893,records/CYS-18-5893/1721675646947.jpg records/CYS-18-5893/1721675647055.jpg
CYS/18/5894,records/CYS-18-5894/1721675648229.jpg records/CYS-18-5894/1721675648364.jpg
CYS/18/5898,records/CYS-18-5898/1721676589232.jpg
CYS/18/5901,records/CYS-18-5901/1721675646243.jpg records/CYS-18-5901/1721675646342.jpg
CYS/18/8472,records/CYS-18-8472/1721675648545.jpg
CYS/18/8473,records/CYS-18-8473/1721675647715.jpg records/CYS-18-8473/1721675647976.jpg
CYS/18/8477,records/CYS-18-8477/1721675647442.jpg records/CYS-18-8477/1721675647564.jpg
CYS/18/8479,records/CYS-18-8479/1721675646498.jpg
CYS/18/8484,records/CYS-18-8484/1721675647162.jpg
